USER,RUNTUME (s),CPUTIME (s),MEMORY (GB),IO (GB)
andrew.watrous,189653,0.615,0.000,0.000
cweidema,29297468,28731995.393,93101107.461,253727.014
esolo,52097040,35793635.352,74117475.952,95839.232
healeym,10583,0.727,0.008,0.010
jfm2,686265,9.750,0.139,0.122
jgermi,747,114.050,302.691,0.101
jkragel,475316,2.005,0.023,0.021
jostein,1312,0.057,0.000,0.000
lyj,7247,0.036,0.000,0.000
maint,24510,0.206,0.002,0.002
mswat,5311,337.290,3895.506,2.467
niclong,207980,2.528,0.009,0.017
salman.qasim,243625,0.111,0.000,0.000
sudas,1276794,1273276.624,4685187.588,550.564
timothy.sheehan,22823,0.028,0.000,0.000
tungphan,31664876,31611930.135,34465762.470,860.877
uma.mohan,691003,0.327,0.000,0.000
yezzyat,445370,2.014,0.022,0.020
