USER,RUNTUME (s),CPUTIME (s),MEMORY (GB),IO (GB)
andrew.watrous,405809,0.148,0.000,0.000
cweidema,2750411,2726260.919,3940712.149,8563.189
elliot.smith,13,0.065,0.000,0.000
esolo,1808392,600968.587,2446592.371,77533.788
healeym,1002276,410643.337,1563026.940,495.706
iped,262,0.074,0.000,0.000
jfm2,776696,196074.631,408141.575,1564.334
jgermi,1800018,1791439.143,6579484.256,1538.271
jkragel,283343,8.349,1.764,0.344
jostein,65013,0.106,0.000,0.000
ks347,429,3.748,0.036,0.027
lyj,89739,0.164,0.000,0.000
maint,28223,0.419,0.004,0.003
malika.datta,7797,0.094,0.000,0.000
mikhail.katkov,98370,2.550,0.011,0.014
salman.qasim,48437,0.051,0.000,0.000
sudas,1874733,1867853.855,4124121.801,788.719
tungphan,5665959,5656252.312,1662085.977,383.674
uma.mohan,1080290,0.339,0.000,0.000
yezzyat,130837,0.921,0.012,0.010
