USER,RUNTUME (s),CPUTIME (s),MEMORY (GB),IO (GB)
andrew.watrous,345882,0.124,0.000,0.000
anjohri,3446,0.311,0.002,0.002
cweidema,959311,956475.228,1925309.944,2476.173
jfm2,153836,5.280,0.084,0.075
jgermi,26596,26302.401,98526.799,8.307
jkragel,1236205,5.245,0.069,0.059
jostein,97391,0.186,0.000,0.000
ks347,4991,24.714,39.544,0.287
lyj,12772,0.039,0.000,0.000
maint,9674,0.241,0.002,0.001
malika.datta,9549,0.073,0.000,0.000
maolson,570,0.036,0.000,0.000
niclong,10480,0.079,0.000,0.000
peter.horak,853,0.178,0.001,0.001
salman.qasim,7750,0.041,0.000,0.000
sudas,1085671,1083197.692,2547248.146,497.522
timothy.sheehan,933857,2.737,0.029,0.022
uma.mohan,495675,0.356,0.000,0.000
yezzyat,608053,3.274,0.053,0.041
